"Question","Fullquestion","Var1","Freq","Numeric"
"CNP2","How often was the following true in the last 12 months?
I (we) couldn't afford to eat balanced meals","Often",7,2
"CNP2","How often was the following true in the last 12 months?
I (we) couldn't afford to eat balanced meals","Never",110,3
"CNP2","How often was the following true in the last 12 months?
I (we) couldn't afford to eat balanced meals","I dont know",4,4
"CNP2","How often was the following true in the last 12 months?
I (we) couldn't afford to eat balanced meals","",1,5
"CNP3","In the last 12 months, were you ever hungry but didn't eat, or ate less, because there wasn't enough money or food?","Yes",27,1
"CNP3","In the last 12 months, were you ever hungry but didn't eat, or ate less, because there wasn't enough money or food?","No",141,2
"CNP3","In the last 12 months, were you ever hungry but didn't eat, or ate less, because there wasn't enough money or food?","I dont know",4,3
"CNP3","In the last 12 months, were you ever hungry but didn't eat, or ate less, because there wasn't enough money or food?","",1,4
"CNP3.1","How often did this happen?","Some months but not every month",19,1
"CNP3.1","How often did this happen?","Only 1 or 2 months",5,2
"CNP3.1","How often did this happen?","Almost every month",3,3
"CNP3.1","How often did this happen?","",146,4
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Transportation assistance,Double up Bucks or other incentive programs at the farmers market",1,1
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),TANF (public cash assistance; formally called ADC or ADFC),SSI (supplemental security income),Childcare assistance",1,2
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),TANF (public cash assistance; formally called ADC or ADFC),SSI (supplemental security income)",1,3
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),TANF (public cash assistance; formally called ADC or ADFC),Medicaid or public health insurance,Childcare assistance",2,4
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),TANF (public cash assistance; formally called ADC or ADFC),Childcare assistance,Utility assistance (e.g., help paying for heat or water)",1,5
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),TANF (public cash assistance; formally called ADC or ADFC)",1,6
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),SSDI (social security disability income),Medicaid or public health insurance,Childcare assistance",1,7
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),SSDI (social security disability income),Double up Bucks or other incentive programs at the farmers market",1,8
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),SSDI (social security disability income)",1,9
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance,Veteran’s benefits (Veteran's Administration benefits for serviceman's, widows, or survivor's pension; service disability, GI bill, or tuition assistance,National School Lunch Program",1,10
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance,Unemployment compensation/insurance,Housing assistance,Food pantries",1,11
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance,National School Lunch Program",2,12
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance,Food pantries",1,13
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance,Childcare assistance,Unemployment compensation/insurance",1,14
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance,Childcare assistance",1,15
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance",1,16
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Food pantries",2,17
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Double up Bucks or other incentive programs at the farmers market",1,18
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children),Community gardens",1,19
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","WIC (nutritional assistance for pregnant women and children)",3,20
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","Unemployment compensation/insurance,Community gardens",1,21
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","Tax refunds (including EITC)",4,22
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","TANF (public cash assistance; formally called ADC or ADFC),Utility assistance (e.g., help paying for heat or water),Double up Bucks or other incentive programs at the farmers market",1,23
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","TANF (public cash assistance; formally called ADC or ADFC),Tax refunds (including EITC)",1,24
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","TANF (public cash assistance; formally called ADC or ADFC),SSI (supplemental security income),Medicaid or public health insurance,Childcare assistance",2,25
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","TANF (public cash assistance; formally called ADC or ADFC),SSI (supplemental security income),Medicaid or public health insurance",1,26
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","TANF (public cash assistance; formally called ADC or ADFC),SSI (supplemental security income),Childcare assistance",1,27
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","TANF (public cash assistance; formally called ADC or ADFC),School food backpack programs or Totes of Hope,Double up Bucks or other incentive programs at the farmers market",1,28
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","TANF (public cash assistance; formally called ADC or ADFC),Double up Bucks or other incentive programs at the farmers market",1,29
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","TANF (public cash assistance; formally called ADC or ADFC)",2,30
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SSI (supplemental security income),SSDI (social security disability income),Housing assistance",1,31
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SSI (supplemental security income),Childcare assistance,School food backpack programs or Totes of Hope,Double up Bucks or other incentive programs at the farmers market",1,32
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SSI (supplemental security income),Childcare assistance",1,33
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SSDI (social security disability income)",1,34
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Veteran’s benefits (Veteran's Administration benefits for serviceman's, widows, or survivor's pension; service disability, GI bill, or tuition assistance,Double up Bucks or other incentive programs at the farmers market",1,35
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Utility assistance (e.g., help paying for heat or water),School food backpack programs or Totes of Hope",1,36
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),TANF (public cash assistance; formally called ADC or ADFC),Medicaid or public health insurance,Childcare assistance",1,37
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),SSDI (social security disability income),Double up Bucks or other incentive programs at the farmers market",1,38
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance,Utility assistance (e.g., help paying for heat or water)",1,39
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance,Tax refunds (including EITC)",1,40
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Medicaid or public health insurance,School food backpack programs or Totes of Hope,Food pantries,Community gardens",1,41
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Housing assistance,Double up Bucks or other incentive programs at the farmers market",1,42
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Food pantries,Community gardens",1,43
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Double up Bucks or other incentive programs at the farmers market",1,44
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Childcare assistance,Utility assistance (e.g., help paying for heat or water)",1,45
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Childcare assistance,Double up Bucks or other incentive programs at the farmers market",1,46
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children),Childcare assistance",1,47
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),WIC (nutritional assistance for pregnant women and children)",3,48
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Veteran’s benefits (Veteran's Administration benefits for serviceman's, widows, or survivor's pension; service disability, GI bill, or tuition assistance,Double up Bucks or other incentive programs at the farmers market",1,49
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Utility assistance (e.g., help paying for heat or water),School food backpack programs or Totes of Hope",1,50
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Utility assistance (e.g., help paying for heat or water),Housing assistance,Transportation assistance",1,51
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Utility assistance (e.g., help paying for heat or water),Housing assistance,Double up Bucks or other incentive programs at the farmers market",1,52
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Utility assistance (e.g., help paying for heat or water),Double up Bucks or other incentive programs at the farmers market",1,53
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),TANF (public cash assistance; formally called ADC or ADFC),Veteran’s benefits (Veteran's Administration benefits for serviceman's, widows, or survivor's pension; service disability, GI bill, or tuition assistance",1,54
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),TANF (public cash assistance; formally called ADC or ADFC),Utility assistance (e.g., help paying for heat or water)",1,55
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),TANF (public cash assistance; formally called ADC or ADFC),SSDI (social security disability income),Utility assistance (e.g., help paying for heat or water)",1,56
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),TANF (public cash assistance; formally called ADC or ADFC),SSDI (social security disability income)",2,57
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),TANF (public cash assistance; formally called ADC or ADFC),Medicaid or public health insurance,Childcare assistance",1,58
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),TANF (public cash assistance; formally called ADC or ADFC),Housing assistance,Veteran’s benefits (Veteran's Administration benefits for serviceman's, widows, or survivor's pension; service disability, GI bill, or tuition assistance,Double up Bucks or other incentive programs at the farmers market",1,59
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),TANF (public cash assistance; formally called ADC or ADFC),Housing assistance,Tax refunds (including EITC)",1,60
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),TANF (public cash assistance; formally called ADC or ADFC),Childcare assistance,School food backpack programs or Totes of Hope,National School Lunch Program",1,61
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),SSI (supplemental security income),Medicaid or public health insurance",1,62
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),SSI (supplemental security income),Childcare assistance,Double up Bucks or other incentive programs at the farmers market",1,63
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),SSDI (social security disability income),Utility assistance (e.g., help paying for heat or water),Veteran’s benefits (Veteran's Administration benefits for serviceman's, widows, or survivor's pension; service disability, GI bill, or tuition assistance",1,64
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),SSDI (social security disability income),Transportation assistance,National School Lunch Program,Double up Bucks or other incentive programs at the farmers market",1,65
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),SSDI (social security disability income),Double up Bucks or other incentive programs at the farmers market",1,66
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),School food backpack programs or Totes of Hope,Food pantries,Community gardens",1,67
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),School food backpack programs or Totes of Hope,Double up Bucks or other incentive programs at the farmers market",1,68
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),National School Lunch Program,Double up Bucks or other incentive programs at the farmers market",1,69
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Medicaid or public health insurance,Utility assistance (e.g., help paying for heat or water),Housing assistance,National School Lunch Program",1,70
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Medicaid or public health insurance,School food backpack programs or Totes of Hope,Food pantries",1,71
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Medicaid or public health insurance,National School Lunch Program",1,72
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Medicaid or public health insurance,Double up Bucks or other incentive programs at the farmers market",1,73
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Medicaid or public health insurance,Childcare assistance,National School Lunch Program",1,74
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Housing assistance,Double up Bucks or other incentive programs at the farmers market",2,75
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Double up Bucks or other incentive programs at the farmers market",1,76
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT),Childcare assistance,Double up Bucks or other incentive programs at the farmers market",1,77
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","SNAP (food stamps/EBT)",4,78
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","None",64,79
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","National School Lunch Program,None",1,80
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","National School Lunch Program",1,81
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","Medicaid or public health insurance,Tax refunds (including EITC),National School Lunch Program",1,82
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","Medicaid or public health insurance,Tax refunds (including EITC)",1,83
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","Medicaid or public health insurance,None",1,84
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","Food pantries",2,85
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","Community gardens",3,86
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","Childcare assistance,Double up Bucks or other incentive programs at the farmers market",1,87
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","Childcare assistance",1,88
"CNP4","In the past 12 months, from which of the following programs did you receive assistance?","",2,89
"CNP4.1","How long have you used SNAP?","9/29/2021",1,1
"CNP4.1","How long have you used SNAP?","9/17/2021",1,2
"CNP4.1","How long have you used SNAP?","9/11/2021",1,3
"CNP4.1","How long have you used SNAP?","8/14/2021",1,4
"CNP4.1","How long have you used SNAP?","8/13/2018",1,5
"CNP4.1","How long have you used SNAP?","8/11/2022",1,6
"CNP4.1","How long have you used SNAP?","7/8/2020",1,7
"CNP4.1","How long have you used SNAP?","7/3/2020",1,8
"CNP4.1","How long have you used SNAP?","7/18/2018",1,9
"CNP4.1","How long have you used SNAP?","7/12/2021",1,10
"CNP4.1","How long have you used SNAP?","6/6/2023",1,11
"CNP4.1","How long have you used SNAP?","6/14/2020",1,12
"CNP4.1","How long have you used SNAP?","6/12/2021",1,13
"CNP4.1","How long have you used SNAP?","6/11/2021",2,14
"CNP4.1","How long have you used SNAP?","6/11/2020",1,15
"CNP4.1","How long have you used SNAP?","6/1/2023",1,16
"CNP4.1","How long have you used SNAP?","5/9/2021",1,17
"CNP4.1","How long have you used SNAP?","5/8/2023",1,18
"CNP4.1","How long have you used SNAP?","5/7/2020",1,19
"CNP4.1","How long have you used SNAP?","5/5/2012",1,20
"CNP4.1","How long have you used SNAP?","5/21/2020",1,21
"CNP4.1","How long have you used SNAP?","5/14/2023",1,22
"CNP4.1","How long have you used SNAP?","5/11/2021",1,23
"CNP4.1","How long have you used SNAP?","5/11/2020",1,24
"CNP4.1","How long have you used SNAP?","4/7/2020",1,25
"CNP4.1","How long have you used SNAP?","4/7/2019",1,26
"CNP4.1","How long have you used SNAP?","4/1/2022",1,27
"CNP4.1","How long have you used SNAP?","3/5/2020",1,28
"CNP4.1","How long have you used SNAP?","3/28/2020",1,29
"CNP4.1","How long have you used SNAP?","3/22/2020",1,30
"CNP4.1","How long have you used SNAP?","3/15/2018",1,31
"CNP4.1","How long have you used SNAP?","3/11/2021",1,32
"CNP4.1","How long have you used SNAP?","3/11/2019",1,33
"CNP4.1","How long have you used SNAP?","3/1/2023",1,34
"CNP4.1","How long have you used SNAP?","2/6/2021",1,35
"CNP4.1","How long have you used SNAP?","2/22/2019",1,36
"CNP4.1","How long have you used SNAP?","2/1/2023",2,37
"CNP4.1","How long have you used SNAP?","12/22/2021",1,38
"CNP4.1","How long have you used SNAP?","12/12/2021",1,39
"CNP4.1","How long have you used SNAP?","12/11/2021",1,40
"CNP4.1","How long have you used SNAP?","11/13/2021",1,41
"CNP4.1","How long have you used SNAP?","10/30/2023",1,42
"CNP4.1","How long have you used SNAP?","10/25/2013",1,43
"CNP4.1","How long have you used SNAP?","1/9/2022",1,44
"CNP4.1","How long have you used SNAP?","1/8/2020",1,45
"CNP4.1","How long have you used SNAP?","1/26/2021",1,46
"CNP4.1","How long have you used SNAP?","1/1/2023",1,47
"CNP4.1","How long have you used SNAP?","1/1/2022",1,48
"CNP4.1","How long have you used SNAP?","1/1/2016",1,49
"CNP4.1","How long have you used SNAP?","",122,50
"CNP.4.2","Which programs did you receive?","",173,1
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","9",1,1
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","8",4,2
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","7",3,3
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","6",11,4
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","5",16,5
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","4",23,6
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","3",27,7
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","2",44,8
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","10",2,9
"CNP5_1","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Taste","1",42,10
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","9",5,1
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","8",4,2
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","7",14,3
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","6",24,4
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","5",20,5
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","4",20,6
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","3",20,7
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","2",28,8
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","10",3,9
"CNP5_2","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Price","1",35,10
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","9",6,1
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","8",3,2
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","7",8,3
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","6",14,4
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","5",16,5
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","4",23,6
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","3",30,7
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","2",29,8
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","10",1,9
"CNP5_3","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Health/Nutrition","1",43,10
"CNP5_4","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Convenience","9",7,1
"CNP5_4","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Convenience","8",7,2
"CNP5_4","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Convenience","7",21,3
"CNP5_4","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Convenience","6",27,4
"CNP5_4","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Convenience","5",34,5
"CNP5_4","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Convenience","4",28,6
"CNP5_4","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Convenience","3",17,7
"CNP5_4","How much of an impact do the following have on your decision to buy vegetables?  Please rank in order of importance, with 1 being the most important to you. - Convenience","2",15,8
